Parcela;n;Especie;dap
8;502;Lithraea brasiliensis Marchand;6,238873769
8;503;Myrsine umbellata Mart.;13,62366313
8;504;Myrsine umbellata Mart.;21,00845249
8;505;Eugenia pluriflora DC.;15,15683254
8;506;Cedrela fissilis Vell.;15,82000134
8;507;Xylosma ciliatifolia (Clos) Eichler;17,0614099
8;508;Cedrela fissilis Vell.;6,047887837
8;509;Annona rugulosa (Schltdl.) H.Rainer;5,53859202
8;510;Annona rugulosa (Schltdl.) H.Rainer;11,23633898
8;511;Zanthoxylum kleinii (R.S.Cowan) P.G.Waterman;15,82637266
8;512;Araucaria angustifolia (Bertol.) Kuntze;11,65014183
8;513;Duranta vestita Cham.;13,04938545
8;514;Zanthoxylum kleinii (R.S.Cowan) P.G.Waterman;10,15408537
8;515;Jacaranda puberula Cham.;5,283944111
8;516;Solanum pabstii L.B.Sm. & Downs;5,092958179
8;517;Casearia obliqua Spreng.;11,61831085
8;518;Araucaria angustifolia (Bertol.) Kuntze;8,307888029
8;519;Araucaria angustifolia (Bertol.) Kuntze;35,65070725
8;520;Myrsine umbellata Mart.;10,90168376
8;521;Casearia decandra Jacq.;6,079718826
8;522;Zanthoxylum kleinii (R.S.Cowan) P.G.Waterman;6,68450761
8;523;Podocarpus lambertii Klotzsch ex Endl.;5,124789168
8;524;Solanum sanctaecatharinae Dunal;6,302535746
8;525;Calyptranthes concinna DC.;5,624365453
8;526;Cedrela fissilis Vell.;9,867606472
8;528;Araucaria angustifolia (Bertol.) Kuntze;42,55803178
8;529;Casearia decandra Jacq.;5,888732894
8;530;Drimys brasiliensis Miers;9,252694058
8;531;Cedrela fissilis Vell.;9,89943746
8;532;Araucaria angustifolia (Bertol.) Kuntze;30,74873501
8;533;Myrsine umbellata Mart.;18,68479032
8;534;Drimys brasiliensis Miers;8,449613722
8;535;Araucaria angustifolia (Bertol.) Kuntze;12,15943765
8;536;Cinnamomum amoenum (Nees & Mart.) Kosterm.;34,63211562
8;537;Cedrela fissilis Vell.;12,00028271
8;538;Araucaria angustifolia (Bertol.) Kuntze;28,96619964
9;539;Annona rugulosa (Schltdl.) H.Rainer;5,697746963
9;540;Annona rugulosa (Schltdl.) H.Rainer;5,188451145
9;541;Casearia decandra Jacq.;5,029296202
9;542;Zanthoxylum kleinii (R.S.Cowan) P.G.Waterman;13,49633917
9;543;Annona rugulosa (Schltdl.) H.Rainer;5,315775099
9;544;Jacaranda puberula Cham.;8,085071109
9;545;Banara tomentosa Clos;11,14084602
9;546;Jacaranda puberula Cham.;8,403380995
9;547;Lamanonia ternata Vell.;7,321127382
9;548;Araucaria angustifolia (Bertol.) Kuntze;31,3216928
9;549;Casearia decandra Jacq.;5,411268065
9;550;Casearia obliqua Spreng.;8,180564075
9;551;Cedrela fissilis Vell.;15,88366332
9;552;Ocotea pulchella Mart.;5,124789168
9;553;Jacaranda puberula Cham.;10,3450713
9;554;Dasyphyllum tomentosum (Spreng.) Cabrera;14,48309982
9;555;Casearia decandra Jacq.;6,047887837
9;556;Myrsine umbellata Mart.;8,37173155
9;557;Cedrela fissilis Vell.;20,1490158
9;558;Casearia decandra Jacq.;6,810715901
9;559;Casearia decandra Jacq.;5,474930042
9;560;Annona rugulosa (Schltdl.) H.Rainer;8,498873961
9;561;Scutia buxifolia Reissek;6,46169069
9;562;Myrsine coriacea (Sw.) Roem. & Schult.;11,58647986
9;563;Jacaranda puberula Cham.;8,021409132
9;564;Araucaria angustifolia (Bertol.) Kuntze;7,703099246
9;565;Duranta vestita Cham.;6,175211792
9;566;Myrsine umbellata Mart.;5,856901906
9;567;Araucaria angustifolia (Bertol.) Kuntze;5,092958179
9;568;Jacaranda puberula Cham.;9,199155711
9;569;Casearia obliqua Spreng.;9,644789551
9;570;Casearia decandra Jacq.;6,652676621
10;571;Lithraea brasiliensis Marchand;23,45943861
10;572;Casearia decandra Jacq.;8,021409132
10;573;Prunus myrtifolia (L.) Urb.;24,22338234
10;574;Podocarpus lambertii Klotzsch ex Endl.;5,092958179
10;575;Allophylus guaraniticus (A.St.-Hil.) Radlk.;16,45662112
10;576;Eugenia pluriflora DC.;8,97633879
10;577;Araucaria angustifolia (Bertol.) Kuntze;38,13352436
10;578;Casearia decandra Jacq.;5,920563883
10;579;Casearia decandra Jacq.;6,589014644
10;580;Ocotea pulchella Mart.;38,89746809
10;581;Vernonanthura discolor (Spreng.) H.Rob.;27,53380515
10;582;Casearia decandra Jacq.;7,575775291
10;583;Duranta vestita Cham.;7,352958371
10;584;Duranta vestita Cham.;7,377376702
10;585;Symplocos uniflora (Pohl) Benth.;15,56535343
10;586;Calyptranthes concinna DC.;5,856901906
10;587;Duranta vestita Cham.;5,252113122
10;588;Duranta vestita Cham.;7,161972439
10;589;Duranta vestita Cham.;6,589014644
